Service,Feature,Status
Elastic Load Balancing (ELB),Certificates per Application Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Condition Wildcards per Rule,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Rules per Application Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Listeners per Application Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Network Load Balancers per Region,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Targets per Availability Zone per Network Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Targets per Application Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Target Groups per Application Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Targets per Network Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Network Load Balancer ENIs per VPC,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Targets per Target Group per Region,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Registered Instances per Classic Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Target Groups per Region,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Listeners per Classic Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Target Groups per Action per Application Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Listeners per Network Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Application Load Balancers per Region,Available in both
Elastic Load Balancing (ELB),Certificates per Network Load Balancer,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Condition Values per Rule,"Available in source, Not Available in target"
Elastic Load Balancing (ELB),Classic Load Balancers per Region,Available in both
Amazon EMR,Replenishment rate of AddInstanceFleet calls,"Available in source, Not Available in target"
Amazon EMR,The maximum number of TerminateJobFlows API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,Replenishment rate of ModifyInstanceGroups calls,"Available in source, Not Available in target"
Amazon EMR,The maximum number of AddTags API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,The maximum rate at which your bucket replenishes for all EMR operations.,"Available in source, Not Available in target"
Amazon EMR,Replenishment rate of SetVisibleToAllUsers calls,"Available in source, Not Available in target"
Amazon EMR,EMR WAL workspaces,"Available in source, Not Available in target"
Amazon EMR,Replenishment rate of ModifyCluster calls,"Available in source, Not Available in target"
Amazon EMR,Replenishment rate of DescribeCluster calls,"Available in source, Not Available in target"
Amazon EMR,The maximum number of active clusters can be run at the same time,"Available in source, Not Available in target"
Amazon EMR,Replenishment rate of RemoveTags calls,"Available in source, Not Available in target"
Amazon EMR,Replenishment rate of ListBootstrapActions calls,"Available in source, Not Available in target"
Amazon EMR,The maximum number of SetTerminationProtection API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,The maximum number of DescribeSecurityConfiguration API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,The maximum number of RunJobFlow API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,Replenishment rate of ModifyInstanceFleet calls,"Available in source, Not Available in target"
Amazon EMR,The maximum number of PutAutoScalingPolicy API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,The maximum number of ModifyInstanceFleet API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,The maximum number of DescribeStep API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR,The maximum number of ModifyCluster API requests that you can make per second.,"Available in source, Not Available in target"
Amazon EMR Serverless,Max concurrent vCPUs per account,"Available in source, Not Available in target"
Amazon OpenSearch Service,Instances per domain (T2 instance type),"Available in source, Not Available in target"
Amazon OpenSearch Service,Instances per domain,"Available in source, Not Available in target"
Amazon OpenSearch Service,Dedicated master instances per domain,"Available in source, Not Available in target"
Amazon OpenSearch Service,Domains per Region,"Available in source, Not Available in target"
Amazon OpenSearch Service,Warm instances per domain,"Available in source, Not Available in target"
Amazon EventBridge (CloudWatch Events),Event pattern size,Available in both
Amazon EventBridge (CloudWatch Events),Throttle limit in transactions per second,Available in both
Amazon EventBridge (CloudWatch Events),Rate of invocations per API destination,"Available in source, Not Available in target"
Amazon EventBridge (CloudWatch Events),CreateEndpoint throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon EventBridge (CloudWatch Events),DeleteEndpoint throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon EventBridge (CloudWatch Events),Event bus policy size,Available in both
Amazon EventBridge (CloudWatch Events),Number of rules,Available in both
Amazon EventBridge (CloudWatch Events),Endpoints,"Available in source, Not Available in target"
Amazon EventBridge (CloudWatch Events),Event buses,Available in both
Amazon EventBridge (CloudWatch Events),Targets per rule,Available in both
AWS Fargate,Fargate Spot vCPU resource count,Available in both
AWS Fargate,Fargate On-Demand vCPU resource count,Available in both
Amazon Kinesis Data Firehose,Delivery streams,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Subnets for aws:network:disrupt-connectivity,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Tasks for aws:ecs:task-kill-process,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target ReplicationGroups for aws:elasticache:interrupt-cluster-az-power,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Pods for aws:eks:pod-io-stress,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target account configurations per experiment template,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Tasks for aws:ecs:task-network-packet-loss,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Tasks for aws:ecs:task-network-latency,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Auto Scaling groups for aws:ec2:asg-insufficient-instance-capacity-error,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Subnets for aws:network:route-table-disrupt-cross-region-connectivity,"Available in source, Not Available in target"
AWS Fault Injection Service (FIS),Target Pods for aws:eks:pod-cpu-stress,"Available in source, Not Available in target"
Amazon Forecast,Maximum number of backtest windows,"Available in source, Not Available in target"
Amazon Forecast,Maximum number of columns in a target time series dataset,"Available in source, Not Available in target"
Amazon Forecast,Maximum number of tags you can add to a resource,"Available in source, Not Available in target"
Amazon Forecast,Maximum number of predictor backtest export jobs,"Available in source, Not Available in target"
Amazon Forecast,The maximum number of What-if Analyses,"Available in source, Not Available in target"
Amazon FSx,ONTAP SSD storage capacity,"Available in source, Not Available in target"
Amazon FSx,ONTAP throughput capacity,Available in both
Amazon FSx,Windows HDD storage capacity,Available in both
Amazon FSx,Windows throughput capacity,"Available in source, Not Available in target"
Amazon FSx,Lustre Persistent HDD storage capacity (per file system),Available in both
Amazon FSx,Lustre Scratch file systems,Available in both
Amazon FSx,OpenZFS backups,Available in both
Amazon FSx,ONTAP SSD IOPS,Available in both
Amazon FSx,Lustre Scratch storage capacity,Available in both
Amazon FSx,Windows total SSD IOPS,Available in both
Amazon FSx,Windows backups,Available in both
Amazon FSx,Lustre Persistent_1 file systems,Available in both
Amazon FSx,ONTAP backups,Available in both
Amazon FSx,OpenZFS throughput capacity,Available in both
Amazon FSx,OpenZFS SSD storage capacity,Available in both
Amazon FSx,Windows file systems,Available in both
Amazon FSx,Lustre backups,Available in both
Amazon FSx,OpenZFS SSD storage capacity (per file system),Available in both
Amazon FSx,Lustre Persistent_1 storage capacity,Available in both
Amazon FSx,ONTAP file systems,Available in both
Amazon Location Service (Amazon Location),Rate of CreateKey API requests,"Available in source, Not Available in target"
Amazon Location Service (Amazon Location),Rate of CreateMap API requests,"Available in source, Not Available in target"
Amazon Location Service (Amazon Location),Rate of UpdateTracker API requests,"Available in source, Not Available in target"
Amazon Location Service (Amazon Location),Rate of GetMapTile API requests,"Available in source, Not Available in target"
Amazon Location Service (Amazon Location),Rate of UpdateKey API requests,"Available in source, Not Available in target"
AWS Glue,Number of crawlers running concurrently per account,"Available in source, Not Available in target"
AWS Glue,Maximum number of in-flight completion requests allowed per account,Available in both
AWS Glue,Max spare compute capacity consumed in data processing units (DPUs) per account.,"Available in source, Not Available in target"
AWS Glue,Max DPUs per dev endpoint,"Available in source, Not Available in target"
AWS Glue,Max partitions per account,Available in both
AWS Glue,Max security configurations per account,Available in both
AWS Glue,Max development endpoint per account,"Available in source, Not Available in target"
AWS Glue,Max jobs per trigger,"Available in source, Not Available in target"
AWS Glue,Number of workflows,"Available in source, Not Available in target"
AWS Glue,Number of column statistics tasks running concurrently per account,Available in both
AWS Glue,Concurrent machine learning task runs per transform,Available in both
AWS Glue,Max table versions per account,"Available in source, Not Available in target"
AWS Glue,Max partitions per table,Available in both
AWS Glue,Max functions per account,"Available in source, Not Available in target"
AWS Glue,Max task DPUs per account,Available in both
AWS Glue,Max concurrent job runs per job,"Available in source, Not Available in target"
AWS Glue,Max data quality rulesets per account,Available in both
AWS Glue,Max concurrent job runs per account,Available in both
AWS Glue,Max concurrent data quality ruleset evaluation runs per account,Available in both
AWS Glue,Max tables per database,"Available in source, Not Available in target"
Amazon GuardDuty,Threat intel sets,Available in both
Amazon GuardDuty,Filters,Available in both
EC2 Image Builder,Components,Available in both
EC2 Image Builder,Component parameter length,Available in both
EC2 Image Builder,Parameters per image workflow,Available in both
EC2 Image Builder,Image recipes,Available in both
EC2 Image Builder,Image workflow size,Available in both
EC2 Image Builder,Docker template size,"Available in source, Not Available in target"
EC2 Image Builder,Distribution configurations,Available in both
EC2 Image Builder,Launch templates modified per distribution configuration,Available in both
EC2 Image Builder,Concurrent resource state update,Available in both
EC2 Image Builder,Lifecycle policies,Available in both
EC2 Image Builder,Components per image recipe,Available in both
EC2 Image Builder,Image workflows,Available in both
EC2 Image Builder,Parameters per component,Available in both
EC2 Image Builder,Image workflow parameter,Available in both
EC2 Image Builder,Concurrent builds,Available in both
EC2 Image Builder,Image pipelines,Available in both
EC2 Image Builder,Steps per image workflow,Available in both
EC2 Image Builder,Image workflows per image,Available in both
EC2 Image Builder,Concurrent AMI copies per distribution configuration,Available in both
EC2 Image Builder,Infrastructure configurations,"Available in source, Not Available in target"
Amazon Inspector,Number of Suppression Rules,"Available in source, Not Available in target"
AWS IoT Analytics,Number of StartPipelineReprocessing requests,"Available in source, Not Available in target"
AWS IoT Core,UpdateThingGroupsForThing API TPS,"Available in source, Not Available in target"
AWS IoT Core,CreateThingType API TPS,"Available in source, Not Available in target"
AWS IoT Core,ListThingsInThingGroup API TPS,"Available in source, Not Available in target"
AWS IoT Core,CreateDynamicThingGroup API TPS,"Available in source, Not Available in target"
AWS IoT Core,DeleteThingType API TPS,"Available in source, Not Available in target"
AWS IoT Core,ListThings API TPS,"Available in source, Not Available in target"
AWS IoT Core,CreateCertificateProvider API TPS,"Available in source, Not Available in target"
AWS IoT Core,TagResource API TPS,"Available in source, Not Available in target"
AWS IoT Core,ListThingGroups API TPS,"Available in source, Not Available in target"
AWS IoT Core,CreateBillingGroup API TPS,"Available in source, Not Available in target"
AWS IoT Core,DescribeThing API TPS,"Available in source, Not Available in target"
AWS IoT Core,DescribeEventConfigurations API TPS,"Available in source, Not Available in target"
AWS IoT Core,CreateThingGroup API TPS,"Available in source, Not Available in target"
AWS IoT Core,AddThingToBillingGroup API TPS,"Available in source, Not Available in target"
AWS IoT Core,UpdateEventConfigurations API TPS,"Available in source, Not Available in target"
AWS IoT Core,UntagResource API TPS,"Available in source, Not Available in target"
AWS IoT Core,DeleteThing API TPS,"Available in source, Not Available in target"
AWS IoT Core,CreateThing API TPS,"Available in source, Not Available in target"
AWS IoT Core,UpdateThingGroup API TPS,"Available in source, Not Available in target"
AWS IoT Core,DescribeThingType API TPS,"Available in source, Not Available in target"
AWS IoT TwinMaker,Entities per workspace,"Available in source, Not Available in target"
AWS IoT TwinMaker,Component types per workspace,"Available in source, Not Available in target"
AWS IoT TwinMaker,Scenes per workspace,"Available in source, Not Available in target"
AWS IoT TwinMaker,Component type composition tree depth,"Available in source, Not Available in target"
AWS IoT TwinMaker,Depth of component type hierarchy,"Available in source, Not Available in target"
AWS IoT TwinMaker,Size of the metadata transfer job import file,"Available in source, Not Available in target"
Amazon Interactive Video Service,Stages,"Available in source, Not Available in target"
Amazon Interactive Video Service,Stream Key,"Available in source, Not Available in target"
Amazon Interactive Video Service,Total number of Destinations per Composition,"Available in source, Not Available in target"
Amazon Interactive Video Service,Compositions,"Available in source, Not Available in target"
Amazon Interactive Video Service,Concurrent views,"Available in source, Not Available in target"
Amazon Interactive Video Service,Stage participants (subscribers),"Available in source, Not Available in target"
Amazon Interactive Video Service,Stage participants (publishers),"Available in source, Not Available in target"
Amazon Interactive Video Service,Concurrent streams,"Available in source, Not Available in target"
Amazon Interactive Video Service,Recording configurations,"Available in source, Not Available in target"
Amazon Interactive Video Service,Max Composition duration,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Rooms,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Rate of messaging requests per connection,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Rate of DisconnectUser requests,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Rate of DeleteMessage requests,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Logging Configurations,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Rate of SendMessage requests,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Concurrent chat connections,"Available in source, Not Available in target"
Amazon Interactive Video Service Chat,Message review handler timeout period,"Available in source, Not Available in target"
Amazon Managed Streaming for Kafka (MSK),Number of brokers per account,Available in both
Amazon Managed Streaming for Kafka (MSK),Number of configurations per account,Available in both
Amazon Managed Streaming for Kafka (MSK),Number of revisions per configuration,Available in both
Amazon Managed Streaming for Kafka (MSK),Number of replicators per account,"Available in source, Not Available in target"
Amazon Managed Streaming for Kafka (MSK),Number of brokers per cluster,Available in both
Amazon Kinesis Data Streams,Shards per Region,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,GetClip fragments,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,PutMedia bandwidth,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of DescribeMappedResourceConfigurationAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of UpdateDataRetentionAPI requests per stream,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of DescribeStreamAPI requests per stream,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,ConnectAsMaster GO_AWAY message grace period,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of TagStreamAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of DeleteSignalingChannelAPI requests per signaling channel,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,GetHLSMediaPlaylist fragments,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of ListTagsForResourceAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of CreateStreamAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of GetSignalingChannelEndpointAPI requests per signaling channel,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of ListSignalingChannelsAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,PutMedia tracks,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of UntagStreamAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of CreateSignalingChannelAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of DeleteStreamAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of StartEdgeConfigurationUpdateAPI requests,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,ConnectAsViewer connection duration,"Available in source, Not Available in target"
Amazon Kinesis Video Streams,Rate of SendAlexaOfferToMasterAPI requests per signaling channel,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),GenerateDataKeyPair (RSA_3072) request rate,Available in both
AWS Key Management Service (AWS KMS),CreateCustomKeyStore request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),GetKeyPolicy request rate,Available in both
AWS Key Management Service (AWS KMS),PutKeyPolicy request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),ListRetirableGrants request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),Cryptographic operations (symmetric) request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),ListKeyPolicies request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),RetireGrant request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),EnableKeyRotation request rate,Available in both
AWS Key Management Service (AWS KMS),DisableKey request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),Cryptographic operations (RSA) request rate,Available in both
AWS Key Management Service (AWS KMS),TagResource request rate,Available in both
AWS Key Management Service (AWS KMS),ImportKeyMaterial request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),UpdateKeyDescription request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),GenerateDataKeyPair (RSA_4096) request rate,Available in both
AWS Key Management Service (AWS KMS),DeleteAlias request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),DeleteImportedKeyMaterial request rate,"Available in source, Not Available in target"
AWS Key Management Service (AWS KMS),GenerateDataKeyPair (ECC_NIST_P521) request rate,Available in both
AWS Key Management Service (AWS KMS),ScheduleKeyDeletion request rate,Available in both
AWS Key Management Service (AWS KMS),CreateKey request rate,Available in both
AWS Lambda,Function and layer storage,Available in both
AWS Lambda,Concurrent executions,Available in both
AWS Lambda,Concurrency scaling rate,Available in both
AWS License Manager,License configuration associations per resource,"Available in source, Not Available in target"
AWS License Manager,License configurations,"Available in source, Not Available in target"
Amazon Lightsail,Static IP addresses,"Available in source, Not Available in target"
Amazon CloudWatch Logs,Batch size,"Available in source, Not Available in target"
Amazon CloudWatch Logs,DescribeSubscriptionFilters throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon CloudWatch Logs,PutDestination throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,DeleteRetentionPolicy throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon CloudWatch Logs,Event size,Available in both
Amazon CloudWatch Logs,DescribeLogGroups throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,PutLogEvents throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,Subscription filters per log group,"Available in source, Not Available in target"
Amazon CloudWatch Logs,TagLogGroup throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon CloudWatch Logs,DeleteLogGroup throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon CloudWatch Logs,DescribeDestinations throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,GetLogEvents throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,CancelExportTask throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,Active export task,"Available in source, Not Available in target"
Amazon CloudWatch Logs,ListTagsForResource throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,DescribeExportTasks throttle limit in transactions per second,Available in both
Amazon CloudWatch Logs,DescribeLogStreams throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon CloudWatch Logs,CreateLogGroup throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon CloudWatch Logs,AssociateKmsKey throttle limit in transactions per second,"Available in source, Not Available in target"
Amazon CloudWatch Logs,StartLiveTail throttle limit in transactions per second,"Available in source, Not Available in target"
AWS Mainframe Modernization,Max Applications Per AWS Account,"Available in source, Not Available in target"
AWS Mainframe Modernization,Max DataTransferEndpoints Per AWS Account,"Available in source, Not Available in target"
AWS Mainframe Modernization,Max Environments Per AWS Account,"Available in source, Not Available in target"
AWS Mainframe Modernization,Max number of EFS filesystems per environment,"Available in source, Not Available in target"
AWS Mainframe Modernization,Max number of FSX filesystems per environment,"Available in source, Not Available in target"
AWS Mainframe Modernization,Max Instances Per High Availability Environment,"Available in source, Not Available in target"
Amazon Macie,Sensitive data discovery per month per account,"Available in source, Not Available in target"
AWS Elemental MediaConnect,Flows,Available in both
AWS Elemental MediaConnect,Entitlements,Available in both
AWS Elemental MediaConnect,Outputs,Available in both
AWS Elemental MediaLive,CDI Channels,"Available in source, Not Available in target"
AWS Elemental MediaLive,Push Inputs,"Available in source, Not Available in target"
AWS Elemental MediaLive,MediaLive DescribeThumbnails TPS,"Available in source, Not Available in target"
AWS Elemental MediaLive,VPC Inputs,"Available in source, Not Available in target"
AWS Elemental MediaLive,UHD Channels,"Available in source, Not Available in target"
AWS Elemental MediaLive,Reservations,"Available in source, Not Available in target"
AWS Elemental MediaLive,HEVC Channels,"Available in source, Not Available in target"
AWS Elemental MediaLive,Channels,"Available in source, Not Available in target"
AWS Elemental MediaLive,Multiplexes,"Available in source, Not Available in target"
AWS Elemental MediaLive,Device Inputs,"Available in source, Not Available in target"
AWS Elemental MediaLive,Pull Inputs,"Available in source, Not Available in target"
AWS Elemental MediaLive,Input Security Groups,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Assets per packaging group,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Rate of segment egress requests per origin endpoint,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Tracks per ingest stream (VOD),"Available in source, Not Available in target"
AWS Elemental MediaPackage,Rate of REST API requests (VOD),"Available in source, Not Available in target"
AWS Elemental MediaPackage,Rate of segment egress requests per asset,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Ingest streams per channel,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Rate of ingest requests per channel,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Rate of manifest egress requests per origin endpoint,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Content retention,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Burst rate of REST API requests (Live),"Available in source, Not Available in target"
AWS Elemental MediaPackage,Live manifest length,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Packaging configurations per packaging group,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Rate of manifest egress requests per asset,"Available in source, Not Available in target"
AWS Elemental MediaPackage,Tracks per ingest stream (Live),"Available in source, Not Available in target"
AWS Elemental MediaPackage,Channels,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Channel Groups,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Origin endpoints per channel,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Rate of ingest requests per channel,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Manifests per origin endpoint,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Burst rate of REST API requests,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Channels per channel group,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Rate of REST API requests,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Ingest streams per channel,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Time-shifted manifest length,"Available in source, Not Available in target"
AWS Elemental MediaPackage v2,Tracks per ingest stream,"Available in source, Not Available in target"
Application Migration,Max Active Source Servers,Available in both
Application Migration,Max active applications,Available in both
Application Migration,Max archived waves,Available in both
Application Migration,Max actions per source server,Available in both
Amazon CloudWatch,Rate of GetMetricData requests,"Available in source, Not Available in target"
Amazon CloudWatch,Rate of UntagResource requests,"Available in source, Not Available in target"
Amazon CloudWatch,Canary limit,Available in both
Amazon CloudWatch,Number of Contributor Insights rules,"Available in source, Not Available in target"
Amazon CloudWatch,Rate of StartMetricStreams requests,Available in both
Amazon CloudWatch,Rate of StopMetricStreams requests,Available in both
Amazon CloudWatch,Rate of TagResource requests,"Available in source, Not Available in target"
Amazon CloudWatch,Rate of DescribeAlarmHistory requests,"Available in source, Not Available in target"
Amazon CloudWatch,Rate of PutCompositeAlarm requests,Available in both
Amazon CloudWatch,Rate of DeleteInsightRules requests,"Available in source, Not Available in target"
Amazon CloudWatch,Rate of PutMetricData requests,"Available in source, Not Available in target"
Amazon CloudWatch,Rate of GetDashboard requests,Available in both
Amazon CloudWatch,Rate of ListDashboards requests,Available in both
Amazon CloudWatch,Rate of PutMetricAlarm requests,Available in both
Amazon CloudWatch,Rate of GetMetricStatistics requests,Available in both
Amazon CloudWatch,Rate of PutMetricStream requests,Available in both
Amazon CloudWatch,Rate of PutInsightRule requests,"Available in source, Not Available in target"
AWS Network Firewall,Suricata rules string size,Available in both
AWS Network Firewall,Resource filters,Available in both
AWS Network Firewall,Firewalls,Available in both
AWS Network Firewall,TLS inspection configurations per policy,Available in both
AWS Network Firewall,Number of policies that can use the same rule group,Available in both
AWS Network Firewall,Number of firewalls that can use the same policy,Available in both
AWS Network Firewall,Stateful rulegroups,Available in both
AWS Network Firewall,TLS configurations,Available in both
AWS Network Firewall,Suricata rule character length,Available in both
AWS Network Firewall,Number of policies using a TLS inspection configuration,Available in both
AWS Network Firewall,Stateless rulegroups,Available in both
AWS Network Firewall,CA certificates per TLS configuration,Available in both
AWS Network Firewall,IP set references per Suricata compatible stateful rule group,Available in both
AWS Network Firewall,Stateless rules per policy,Available in both
AWS Network Firewall,Stateful rule group capacity,Available in both
AWS Network Firewall,Stateless rule group custom actions,Available in both
AWS Network Firewall,Firewall policies,Available in both
AWS Network Firewall,Network traffic bandwidth per firewall endpoint,Available in both
AWS Network Firewall,Stateless rule groups per policy,Available in both
AWS Network Firewall,Stateless rule group capacity,Available in both
Amazon CloudWatch Network Monitor,Number of probes per subnet for each monitor,"Available in source, Not Available in target"
Amazon CloudWatch Network Monitor,Number of probes per monitor,"Available in source, Not Available in target"
Amazon CloudWatch Network Monitor,Number of monitors per account per AWS region,"Available in source, Not Available in target"
AWS Outposts,Outpost sites,"Available in source, Not Available in target"
AWS Outposts,Outposts per site,"Available in source, Not Available in target"
Private CA Connector for Active Directory,Rate of ListTagsForResource requests,Available in both
Private CA Connector for Active Directory,Rate of UntagResource requests,Available in both
Private CA Connector for Active Directory,Rate of GetTemplate requests,Available in both
Private CA Connector for Active Directory,Rate of GetConnector requests,Available in both
Private CA Connector for Active Directory,Rate of DeleteDirectoryRegistration requests,Available in both
Private CA Connector for Active Directory,Rate of DeleteConnector requests,Available in both
Private CA Connector for Active Directory,Rate of RequestSecurityToken requests,Available in both
Private CA Connector for Active Directory,Rate of CreateConnector requests,Available in both
Private CA Connector for Active Directory,Rate of GetPolicies requests,Available in both
Amazon Personalize,Amount of data for Popularity-Count recipe,"Available in source, Not Available in target"
Amazon Personalize,Rate of ListDatasetGroups requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of ListDatasetImportJobRuns requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DescribeCampaign requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DeleteDatasetImportJob requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DeleteCampaign requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DescribeDatasetGroup requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DescribeSchema requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DescribeDatasetImportJob requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DeleteDataset requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of ListSolutionVersions requests,"Available in source, Not Available in target"
Amazon Personalize,Number of action interactions for model training,"Available in source, Not Available in target"
Amazon Personalize,Rate of ListSolutions requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DescribeSolution requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of CreateSchema requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of transactions per account,"Available in source, Not Available in target"
Amazon Personalize,Rate of DescribeEventTracker requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of ListDatasetImportJobs requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of DescribeDataset requests,"Available in source, Not Available in target"
Amazon Personalize,Rate of PutActionInteractions requests per dataset group,"Available in source, Not Available in target"
Amazon Pinpoint,Maximum number of active journeys per account,"Available in source, Not Available in target"
